sentiment,text
0,like tv interest video disappoint cancel flightled flight flight go jfk saturday
0,land lax hour late flight bag check business travel friendly nomorevirgin
0,website by the way new website great user experience time another redesign
0,check add bag website work try desktop mobile
0,let scan passenger leave plane tell someone remove bag class bin uncomfortable
0,phone number find call flight reservation
0,anyone anything today website useless one answer phone
0,must traveler miss flight late flight check bag miss morning appointment lose business
0,direct flight fllgtsfo unexpected layover vegas fuel yet peep next buy vegas flight sneaky
0,late flight bag check lose business miss flight apt three people flight exp
1,amaze customer service two heart two heart raeann sf good customerservice virginamerica fly
0,call service line hang awesome sarcasm
0,site trip try check get plain text version reluctant enter card info
1,getaway deal may oneway lot cool city cheapflights farecompare
1,getaway deal may oneway lot cool city cheapflights farecompare
1,great week sun face airplane
1,come back phl already need take horrible cold pleasecomeback
0,concerned fly plane need delay due tech stop
1,good airline fly oneasy change reservationhelpful representative amp comfortable fly experience
1,another rep kick butt naelah represent team beautifully thank
1,beautiful frontend design right cool still book ticket bc backend secure
1,love team run gate las tonight wait delay flight keep thing entertain
0,use another browser amp brand reputation build tech response crossbrowser compatible website
0,flight flight booking problems site totally folk problem
0,like customer service min delay connect passenger seem long
1,thank outstanding nycjfk crew move mountain get home san francisco tonight
1,absolute good team customer service ever every time fly delighted thank
0,need change flight schedule hour min wait time phone call intern help
1,completely awesome experience last month boslas nonstop thank awesome flight depart time vabeatsjblue
0,fail customer check process link tsa precheck
0,terrible airline give hotel hotline number say sorry
0,assistance yesterday you cancel flightled flight give hotel hotline shame
0,another delay flight likingyoulessandless
0,need register service dog first class ticket sfo gt dulles phone queue hour long pls advise
1,rock make watch oscar flight redcarpet oscar
1,always xoxo
0,book seat flight buy even check creates much anxiety frustrate
0,think pay extra buck rt luggage may afford hire extra hand lame
1,good customer service rep world irmafromdallas take cake
0,please provide status flight imagine time web indicate dude weather andor dallas
1,amaze staff amp super helpful run princesshalf spoil comfort
0,pay premium fly across country cancel flight flight offer check fee upgrade love sad face
0,question possible book seat infant give option want seat
1,always together welcome rt welcome
1,flight home dc sunset globe backtowinter back work refresh
0,understand need dm give answer damage luggage policy
0,mean policy destroy luggage
1,thank check ticket purchase customer happy
0,problem flight booking problems web site keep give error contact phone phone minute wait
0,reschedule cancel flightle flight online change button grey
0,ring wait minute book ticket vendor fix site
0,get flight tell todaychecke email tomorrow unacceptable
0,flight lga cancel flighted stick dallas call reschedule tell could get flight today
0,pair include red wine white offer redwineisbetter
0,website
0,site seem little wonked right may want look try two browser cs
0,disappoint agent designate silver status check line close assist pasenger
0,normal receive reply central baggage baggageissue smh
0,logan airport wait checkin flight checkin desk open
0,congrat get business ewr sfolax fuck sfoewr clincher
0,apply week ago hear back fly week disappoint
1,thank follow
0,many apology r bad airline even respond cudtomer
0,shame va make people spend money strand city airline land jfk reimburse
0,bad say take day via confirmation email inquire week claim week
0,flight bos gt las tomorrow cancel flightled notification wait time hour rebook another airline
1,smile face sunglass rt meet match got status another airline upgrade restr
1,way fly elevate gold
0,lot apology throw customer seevery sad thank nothing worst airline ever
0,flight stuff wrong nothing bad flight ever
1,match americanairlines status cool
0,try book flight guy website let lose business
0,suck
1,thanks
0,dmd issue persist
0,never recd cancelled flightlation notice leave w option fly ps drive la red eye mon w kid
0,try book flight amp site beam face smile eye
0,flight fly boston tomorrow need home cancel flightled flight anything
0,stink flight cancel flight psp jfk notification ability rebook disappointed expect well
1,love guy song dance high school dance revue
0,website try check
1,thank quick response apparently fast sit hold
1,cool picture another virginamerica plane wing site
1,keep great work
1,goodness people field amaze pressure red heart selector texas beatstheother crisis please fly ny
1,thank great flight la boston pilots great job land snow go back la seriously
1,thank much awesome support guy rock
0,seat row recline mention website soreback
0,flight delay hour la due mechanical problem handle like pro could toss free drink
0,cancelled flight flight today precipitation scare snowflake selector snowflake selector snowflake selector
1,twitter team guy kill reschedule as soon as possible thank
0,guy charge reschedule flight cancel flighted refuse refund deal
0,access website safari iphone seem work mac ipad need iphone add passbook
0,mobile site break show headerelevateusernumofpointsavailable number point let checkin
0,really look forward flight let know reschedule diehardvirgin
0,cancelled flight flight one sec delay airport next cancel flightledgonna email call reschedule
0,problem link email checkin thank
0,change another airline get dc today able land dc cost ugh
0,look forward first flight today cancel flightle along subsequent one
1,put great deal pdx las las pdx show love
1,wish afford fly next friday go back home love everything airline
0,go deal dallas dc deal dc dallas sad
0,hold time call center bit much
1,like
0,site help
1,good flight attendant ever
1,awesome rt watch nominate film foot meetthefleet oscars
1,thank much
0,try reset password email never arrive help
1,airline base silicon valley disruption fcmostinnovative incubator
1,nicely clap hand
1,look forward watch oscars flight home tomorrow may even get something bubbly drink
0,reason delay departure vx jfk afternoon
0,today flight palm springs ca jfk ny cancel flightled
1,hahaha face tear joy guys amaze love guys grow heart
1,sound like fun
0,cs site right please fix site unusable
0,flight vegas boston today check online bag count register fix somehow
1,classiq luv virgin america greetingz
0,hi try checkin website work try different browser problem continue
1,thank great customer service today amp help get travel sort
1,thank guy sweet route rockies airplanemodewason
1,love music blast gate boston wait flight sanfrancisco could get iced coffee
0,passenger flt assault fly trust ban crew file report
0,current bug website show  select departure city  select destination city
0,luggage severely dentedmisse wheel come baggage claim san luggage agent miranda think help
1,thank easy itinerary shift impend weather quick painless amp free
1,thanks good time back vodkatonic entire flight cocktail glass sfo
1,great job add little luxuriesaesthetic improve air travel experience thank keep
0,request window seat confirm window get stick middle seat good way treat silver member unamuse face
0,what the f pay direct flight purpose stop fuel exhaust frequent flier nothing inconvenience
0,something wrong website safari iphone
1,thank gate check baggage full flight dfwlax give early boarding sweet
0,already check page expire x
0,boo refund seat upgrade fee want buy first place
1,see
1,inflight team make experience amaze
1,cut salt pepper shaker ever think guy get well
0,move seat notice well seat cabin select behind row select thumb disappointed
1,fav airline
1,hot female pilot sweet dca sfo
0,already contact central baggage amp send dm charge dress lose suitcase help
1,thank
0,anything go website get lot error past minute
0,check flight sfo lax amp tell atlantic flying club gold get benefit
0,husband order three drink via screen never come awesome
0,soo guy go leave seatbelt light flight barely call turbulence
0,funny story website break miss javascript stylesheet checkin process dislike
1,would love virgin like
0,try check ct flight tmm desktop website work sort cache bug sos
0,guy know checkin link email break
1,love wait mondays return flight mostly watch inflight safety video sorrynotsorry
0,lose luggage day ago flight vx lax iad amp call every day responseplease give back stuff
0,flight booking problems section website seem break chrome might wan na look
1,hi want see new route plan year newark love fly guy hope
1,mean probably inappropriate board
1,happy spend day together lets
1,understand help thank you comps
1,thank absolutely smile face sunglass
0,look like broken link asset
0,manage itinerary section website seem break
0,check site look like every time load
0,carrier less half price round trip fare stun
0,what the f happen pdx late flight march one way sfo
1,free drink flight back free promo
1,thanks
0,luggage go file paperwork promise callemail still resolution response central luggage
1,thanks
1,thank take care flight rockstar travel
1,thank lovely soft view travel san sfo
0,request mileage challenge status several week ago online hear back get help
0,try book ticket nyc face super fun broken style worry ill keep try
0,apply status match feb got confirmation email day still news though guy drop ball late flightly sad relieve face
1,adore look forward flight austin two week
1,glad mention take first virgin flight year back transformative experience
0,try checkinbut look like site
0,spend birthday night daldca get home
0,send couple message email provide avail try next year cheer
1,first time fly virgin go sanfrancisco thank smooth ride easily new fav airline
0,seriously though direct flight sfofll may
0,fine already purchase try go way go back
0,really experience hope w force check small carry w nothing empty cabin space board
0,wjere luggage slow lax
0,speak representative offer solution loyal customer fly well
0,deeply disappointed birthday promo apply trip book mere day receive email
0,happen direct flight sfofll look may see connect help dontdothistome
1,promote product problem southwest recommend noneother good
1,love guy pls get direct route las aus
1,course work ob entire virgin family
1,ok first time fly tonight
0,emboss badge patch superior one currently use
0,jfk la dirty plane standard
0,flight head la jfk dirtiest va plane ever sad great airline
1,get square away someone pick soon tweet tweet sooner wink face
0,avis rental continue button work website book car try time phone suck
0,delay
0,currently minute hold cust service need anything add lap child reservation
1, course fun celebrate  thank happy chinese new year
1,flight booking problems last second flight next week sfo san chance want gift promo code since love guy
0,comenity bank joke please change nothing constant problem bank
1,grandma ellas would lt bday greet flight crew stewardess eastern airlines
1,buy tix atx dallas route thank add love yr airline amp yr website best transactional site ever
1,give credit late flight flight yesterday great service wow moment unexpected gesture
0,submit status match request back still hear fly monday look accelerate
1,safety video love first cross country flight livewelltravele sytycd
1,look fat look yummy
1,omg omg smile face hearteyes smile face hearteyes nonstop dallas austin virgin sparkle face scream fear airplane selector
1,plane really pretty think you know
0,pull hair try book flight you site work iphone ipaddont computer help
1,thank
0,get help support ticket day incident thank
1,good home texas moodlighting
0,even open laptop seat pay premium let
0,seat even open laptop pay extra seat
1,thank need way make austin trip dca come
1,cool never ur plane
1,great well deserve
0,for your information infocom email address say contact password reset email exist emails bounce
0,status match week go newsflt next week hope flt count towards requirement cust svc help
0,website suck donkey dick think know good
0,crap channel pay watch uk tv
1,get set thank
1,giants virgin america match make heaven
1,thank goodness also see friday nwkgtsf boom
0,come iphone app still use make waste paper
0,back seat entertainment system accept credit card apostrophe surname apostrophefail
0,vx use lga slot instead today adding aus make less likely
1,luv ur people product thing you charge herbal tea black tea caffeine drinker
1,thank see soon excite see expansion destination spread wing
0,sad learn longer fly sfo gt phl hope return
1,incredible customer service ever experience refresh
1,dream really open route dallas austin mean houston may next
1,omg finally
0,kinda suck earphone jack work flight may want look future passenger
0,poor experience first computer problem seat malfunction stuck miss meeting san diego
1,thankyou dalaus route make day
1,awesome deal dalaus way
1,love take backyard consumer win biz compete
1, fly love austin excellent news
1,congrat vx new route airplane selector party popper
0,try offer charge additional new ticket strand thurs time last time
0,never bad experience one take cake extortion carry item well
0,spend hour worry item carryon would brokenstolen since could carry plane lock bag
0,group e tell room bin get plane room least bag row
0,thank make flight lax jfk nightmare force check carry bag gate
0,lot flight book site work phone wait minute
1,flight artisanal cheese wine pair
1,classy
1,sure lot jfklhr flight go lot fast strong tailwind
1,tminus minute elevate silver upgrade window open freeneversucks grin face big eye thumb
0,take year fly home dallas get shit together
1,would rough trip luckily virginamerica flight weather
1,another perfect flight come plane sun visor stay carrier make raise
1,nice rt man steel may fast wifi  say sciencebehindtheexperience
1,love dance little richard cool bean
1,use passbook still love though lt use email future
1,thank free birthday point right
0,man steel fly city thoughand frequency
1,thank much share add site
1,dad segway good part whole infographic
1,plan short haul airline europe would defiantly fly guy
1,wifi well seat
0,start flight scold use overhead bin offer person seat next
1,great return call day could ask myvxexperience
0,airline cancel flighting flight bos help customer get home virgin say good luck
0,group virgin bos weather expose actual cus serv model never flight booking problems virgin
0,one traveler affect boston storm shock virgins complete apathy toward customer
0,umm reason someone different contact contact get definitive answer
0,try make change advance hour prior  try online early want change fee
1,loyal drive nyc pa fly virgin since cut philly flight
1,guy perfect always lt wervirgin
1,thank yall good customer service leave industry
1,really wish fly fargo fare amaze
0,mood light point raise hand recline seat kickin foot zzz
0,flight schedule departure still say time plane gate update long delay
0,group get cancel flightlation fee waive ticket book rep help either pout face
1,get newark home la folk ewr incredible letsgohome
1,fly lax sfo look awesome movie lineup actually wish long haul
1,thanks
1,thank take care mr happy customer
0,still refund word via dm please resolve issue cancel flightled flight useless assistant trip
0,delay due lack crew delay long line deice still need improve service unite
1,thanks fill luck common
0,eriord express connection hugely popular could eriewr hop
0,think board flight early think
0,gate agent hook alternate flight way prevent constant issue would rock
1,thanks
1,thanks ticket
0,bad nonrefundable first class ticket oh select globalfc system auto select economy wupgrade
0,buy tix day flight transfer tix flaw security logic flaw customer service
0,start claim week unrealistic really suppose go long car seat childridiculous
1,follow please airline beautifull heart suit
0,car seat lose reimburse new one pair shoe necessity child
0,totally suck cousin work phl say
1,want let know wonderful rosetta gate agent work flight dan ase let know wasappreciate
0,begin feb call united say would send another voucher mail never get anything tiredofwaite
0,internet great thing email executive company maybe respond timely manner
0,weak see ya wave hand hey
0,fly back w company since united early flight
0,try book award september need flight show even w many award seat availab
0,sure drive total hour get bag like explain debacle one want talk
0,see tell repeatedly pilot late flight keep get late flightr board defibrillator issue
0,prefer security line anymore tsa precheck pull partner flight platinum spoil
0,newarkliberty airport need indicate different gate terminal aampc flyingainteasy
0,yes please newly married try update last name preexist international flight seem easy
0,united refuse reissue lose voucher plane take due mechanic badcustomerservice
0,also run instruct shatter computer
0,yes agent last minute one agent rude thankfully ladan nice
0,iah charlotte baggage claim rep latrice h customerservice non existent ignore customer inappropriately touch customer
1,thank helpgot need issue guess sit awhile long
0,would love respond website see really long form business new seat bad
0,refund flight voucher another flight different airline expense today hour drive inconvenient
0,receive call back daysit infant car seat suppose go anywhere child
0,well sit ground time wait gateagain tiredofthis
1,airport snow removal method keep good work folk cessnas become
0,need guy book plane concern ill travel someone else move forward
0,measly ecertificate appreciate loyal customer wait tarmac unacceptable
0,email addressusername signon available
1,thank able claim interim expense cost stuff
0,rude rude
0,get boarding pas austrian airlines codeshare flight rebook incls hour layover amp stick outside sec
0,receive flight unite truly break guitar unitedbreaksguitar wantmymoneyback
0,fly telaviv pay third suitcase even make plane besides impolite service
0,bag still colo springs disabled search unfamiliar airport look bag good outcome
0,shame flex ticket transfer rule even call neurosurgery icu enough
0,denver say handle baggage make colo springs give number call help either
0,guy need serious training customer service many well option put way guy handle ur mistake
0,find problem avoid like plague tell find supervisor
0,cancel flight flight advance need connect flight reschedule link help help gf wait month see
0,fly
0,addition first flight delay hour arrive destination hr late flight
1,fly united last month experience awesome
0,travel book thru united group dept okc ticket agent less willing help connection lax
0,v upset disability service tell one employee carry medical equipment rude
0,thnx quick reply think assist intl grp put considerable inconvenience today
0,transfer flight ticket accompany yr old active military mom emergency brain surgery wow
0,weeks late flightr still receive mile mileageplus gift card starbucks card hand
0,always hope improvement
0,yet complain guy check luggage throw bag around unfortunate coincidence hope
0,okc ticket agent roger mclarrensp less helpful intl group travel problem find supervisor help
0,mobile app need construction ground category expensive get right
0,another fail united ticket agent okc less helpful could care less problem american come
1,also work wc coach good thing bird land ahead schedule use wc stat
0,send email customer care tell may break cry face sincerely hope help
0,silly fly delta today united club staff attendant surly unhelpful always seem bother pesky folk
0,phone number find call flight reservation
0,well fix miss buddy bday negligence attempt make
0,believe help customer service could like say want number someone fix
0,help baggage service desk said bc tsa screen fll bag make bag ewr
0,mobile boarding pas disappear phone stand line board second time week hmm
1,record rozana newark lovely helpful choosekind
1,thank you update
0,explain eager flight attendant try ask vision guide dog
0,point ask detail servicedog book flight crew read continue
0,try one available bogota everyone rude houston stick hour guy
0,ua las iad mechanical problem take land fix delay wtfodd
1,despite bag make newark good informative email track update help
0,go ua outbound flight last thur delay long delay
0,iad las mechanical problem switch aircraft delay hour
0,crash try check
1,wow deal plus seat available easy change make customer happy
0,logan boarding gong show due lax carry enforcement bin full coat room bag you need well system
0,blackmail pay  extra return ticket nullify san francisco airport terrible service rep scam
0,disappointed you honor credit give ur mistake take business elsewhere victory hand selector
0,still wait suppose depart
0,credit last trip never come mail
0,ok month wait hear airline give quite bit day request terrible service
0,process ever end still wait reply since month pathetic customerservice
0,go website flight booking problems three ticket today boot system umpteen time
0,get account number website say email unavailable
0,receive bag last night still miss one
0,need upgrade seat even economy plus like sit concrete bench
0,flight also delay pilot board sit schedule
0,hard stay upset someone least try show remorse
0,way simple apology go long way even hollow one obvious care wellbeing
0,one time thing either shock pattern repeat neglect disrespect
0,finger cross amp intact disappointed experience actually say enjoy use
0,incredibly easy fix would rather stay comfort zone get force
0,july zero excuse outofdate system cause problem like
0,everyone around sit friend family member book ticket october december buy
0,sure talk go nonstop flight sna sfo sfo ewr
0,move talk service
0,ask legitimate question systemwide v localize problem get back unrelate flightd copypaste well
0,time call need ski go airport get faith united
0,see guy amaze one company continually make mistake yet fail hold accountable error
0,yeah sorry always problem united international reputation problem
0,maybe would care hear go whoever listen issue cause
0,wonder share fb insta would produce number character really limit story tell
0,tell number call leave airport negligent pilot staff
0,could email resent appear arrive
0,follow order dmcome
0,united coupon make broken entertainment system hour flight seriously ridiculousness learncustomerservice
0,drop bag overnight amp leave week suppose hold bag
0,dm detail still response book today
0,able dm confirmation number
0,send message let know get twitterliterate also really go stick
0,unhappy response complaint email feb ref awful customer service
1,private jet would cool work ill try
0,give option use united travelbank recent flight booking problem help use recoup fund thank
0,common keep paper work ready delay flightsand meeting
0,yep correct get email flight cancel flightled matter flight atl delay thank you
0,problem get fll iah send dm make connection please let know
1,thank send
0,ground montreal miss connection st louis helpdo private jet
0,frustrate nervous
0,one make difficult
0,child someone issue fly prepare ahead time reduce distress cause plane
0,get cancel flightled hour take
0,always happen guy make travel incredibly stressful uncomfortable good business
0,someone severe anxiety one person help next
0,seek go client bc you get need refund fill form confident work past indication
1,unrivalled access california flight us uk airport nonstop onestop connection yearround
0,luckily make flight time disappointed lack communication
0,check see flight atlord get cancel flighted
0,service far horrid want end trip high note guess option
0,book flight home month ago request seat together fiancée get middle seat unacceptable
0,guys horrible
1,thnx info
0,pay wifi international business ticket pennypincher
0,ok top thing lose luggage could get bad unitedairlines
1,kudo cancel flightling flight dfw morning united usually first panic
0,luggage break youcouldntmakethis brokenwheel
0,maybe one day one quote
0,flight delayedno one remember turn heat flight leave ordseriously
1,another awesome new plane flight extremely nice captain steve connolly
0,speak real person get resolve politely efficiently
0,file refund claim tell charge dm dispute bank hence would like
0,bag make flight iad second day without clothe pretty inconvenient pretty curious unitedairlines
1,every united flight saipan guam adventure never know old plane operational
0,hence ask customer service phone number speak real person get sort
0,bag leave washington yet would convenient see leave day ago unitedairlines lostluggage
0,accord dm owe refund please may provide contact number go bank file claim
0,hour ago need work bag make hotel time need go elsewhere
0,pls properly train agent request speak customer service amp transfer dead end even open hr
0,thank remember load bag onto connect flight oh wait forgot iceland fun clothe
1,thank cheese platter abundance entertainment option time fly
0,customer service atrocious disrupt travel plan lose luggage impossible talk human
0,terminal mia food open esp flight two hour early like recommend eat
0,ua flight currently stick portland miss ride hour delay getmartyhome
0,respond various request contact number anyone know uk customer service number unitedairlines
0,look get bag lusaka
0,could update suitcase please online phone track tell nothing tell back yesterday
1,thank try two day set
0,last thing you guy charge drink transatlantic flight
0,lhr arrival lounge fail wait min shower leave find hotel you know many passenger you carry planning
0,complete form doubt use ua care day vacation sure ua feel responsibility
1,definitely compliment really think bag lose send another airport end happy customer
1,thanx much follow email ticket voucher unitedairline care
1,definitely trip remember ewrsti second season first seat pay loyal
0,nope tell time go home sleep airport even though assure would get room
0,back expensive holiday work year pay ruin want compensation amp original case back
0,thank united understand would actually like bag back also want money
0,frankly bad customer service ever problem happen deal define company never united
0,still valid flight seem strange delay late flight inbound crew hour plane already
0,thank lack help response desk
0,bad ua another unforeseeable operational issue return flight
0,pay luggage deliver arrive wait additional day delivery
0,hotel people feel like hold hostage someone boarding pas leave fail
1,one great airline red heart selector
0,outbound bag lb bag return home bag lb logic write machine human help require
0,like hear poor experience please share detail wour customer care team
0,cancelled flightn leave fend flt come late flight get runaround hr employee blame previous
0,okay find luggage
0,agent meet gate say issue wdelay would take online
0,lady one phone say tel aviv tel aviv united say newark one know nothing
1, well see kn  run plane run thank help
0,yes still answer many luggage day unacceptable
0,go nothing like always
0,plus food taxi
0,offer room people fail
0,people get pretty tire action solve problem plus miss day vacation skiing
0,bright side would keep promise make hope good night thank
0,take back comment team work hard help far solution hotel food anything fail
0,arrive two hour late flight clt sit tarmac move plane gate unhappy customer
0,airline absolute bad idea neveragain unitedairlines
0,thank may want fix line customer care team currently respond inquiry within business day
1,fly united aus austin bergstrom cancun intl best flight ever big small
0,frustrate frequent flyer loyal since continental upgrade equal pay time top purchase ticket
0,bad figure pack plane screw connectns claim hotl room san fran strand pax way go
0,passenger hour delay flight leave hotel end night hou airport what the f
0,hey flight iah pos leave late flight one back iah early rather get pos early
0,lose bag process break agent promise call amp hold bag find wake w delivery fail
0,people counter helpful see nobody flight austin still sit
0, regret hear please let know need assistance kn  finally able secure seat thank you
0,good know open close door premier passenger safety briefing delay flight annoy
0,yea get phoenix already delays day people bullshit
0,consolation staff stellar hour delay encounter every one flight
1,flight gate tell ray somehow make flight iah wait one
0,unfortunate xmas gift look like razor rip right front pocket picture
1,thank ask
0,lose bag cancel flightled flight delhi call center poor united staff spread thin stress name
0,yes make mistake less absurd change fact inconveniently miss luggage tonight
0,constantly challenge upgrade amp charge order prevent dvt pay addtl
0,ord wait min crew member leave gate item come flight attendant sarcastically say good luck walk away
1,favorite airline
0,seriously fail make stranger share room
0,need as soon as possible make today flight
0,agent split reservation cancel flight refund credit
0,would make share room
0,try call w min phn wait mean miss option anyway
0,ask guy flight bwi wait get delay flight san diego pretty please
0,still wait find rep work hard upset wait tomorrow pm get mammoth
0,early flt think call appropriate yes review nada avail next day expect full refund
0,ask call get fix tweet bs question stall make thing bad phone number please
0,yo yo yo stick tarmac hour go miss ride help please helpimstuck unite
0,highly unprofessional overbook flight seat ampfeel rearrange schedule mismanagement
0,well consider every agent claim unable help everything else waste time hear call corp
1,man wait book ticket thanks jp life sabe
0,ice totally understand large number face hour time overnight cancel flightation seem like
0,flt cancelled flightled get email happen courtesy phn call book diff airline amp city
0,tag number let find bag
0,well train support staff appropriate decorum consider revisit terrible provide death certificate policy
0,well bar set low guy really good apology game change you guy learn
1,guy continue impress houston
0,way make phone call need handle via twitteremailweb thank
0,website deserve new design ftw
0,thank eff holiday miss full day skiing due baggage team incompetence
0,agent help person front finish walk away guy behind shock
0,connection ord exact plane check carryon apparently take amp leave chicago pretty ridiculous
0,encourage ill cpap tonight
0,yes file claim soon carousel stop without bag get email find sche delivery
0,delay dencle manually enter baggage tag really worst cust service day friendlyskie
0,tell flight delay tell time min spare say delay unless sure
0,yes lusaka zambia guess bag never make plane iad
0,late flight denver late flight newarklets even get disaster check bag unacceptable
0,let think ever fly problem worst airline period
0,yes file claim amp hope receive luggage ridiculous purchase item go sleep amp reimbursement
0,ordlhr bag load late flight frigid air cabin plane feel like fall apart upgrade long haul fleet
0,flight attendant never serve beverage tea check give notcool
0,load balance system apparently systemwide major impact united airline flight cyberattack
0,unscheduled refuel stop miss connect flight r home n look bed big pbampj sandwich
0,spend hundred rectify situation guy go quiet
0,sit ewr nearly hour sked pilot say computer clue leave help
0,end come travel literally extra day half
1,make upgrade list fly tomorrow min first time ever raise hand statusmatchpaidoff
1,refund vacation get free room night make make sleep dia
1,thank reminder fun ride
0,receive luggage also look leave snow arrive ask people refund
0,update aircraft wifi device entertainment outlet get charge device
0,one scan inside plane ask people line around plane go
0,gate change two delay even crew think airline suck
0,frustrate waste day due equipment failure
0,computer stop give update take flight info app ridiculous keep people update
0,soo day offer response assume poor treatment gate agent norm
1,terrific many thank look forward back ua tomorrow great flight vancouver
0,call result hold time amp wait check suspect code share fare nothing investigate  time waste
0,take week cust care respond case request refund wifi work get update
1,appreciate effort get home
0,correct  ive spend hour try book online receive error click final purchase button
0,today fine could prevent one gate agent advise passenger
0,real deal delay flight ua denver vegas
0,madrid arrive agent mass confusion send fro ua employee maryjo rude unhelpful
0,system failure bad trend software project like fly airplane thing emergency takeoff
0,lot report system failure delay flight last week currently sit tarmac ogg hour
1,despite shaky connection look like ill get home tonight great job touch go
0,however completely control  price still display
0,tell file claim clothing purchase
0,comically return flight ase two united flight boarding adjacent gate clear plane board
0,file reference
0,wouldhow contact discus poor experience customer service would give shot
0,ua pacific rim date night cut constantly randomly one spot repeatably
0,try since file report
0,send email bad experience send back generic response yet another reason ill never fly
0,ticket please refund unnecessary upgrade fee
0,horrible lose carseat expect use loner carseat safety regulation say illegal use use car seat
1,thank
0,care link show wrong price site  site amp responsibility ensure correctness
0,need get home tell night compensation anything
0, baggage fee waive premier member please see jp  point membership
0,wonderful bag claim people finally bag catch early flight original flight land wastedtime
0,dme thank
1,thank well touch
1,thank karen salisbury iah amaze customer service find daughter bag lose make day
0,day late flightr bag leave iad united help everyone tell different story
1,leave comment customer care thank contact
0,lose gate check bag den ord direct flight ugh
0,catch early flight ord gate check bag lose ohare original flight land frustrate
1,yes thanks much purple heart  see speak reservations team reinstate flight thank ey 
1,captain behalf front office welcome board never hear laughedhard funnycaptain
0,please follow dm miss bag
1,great fare
0,leave item plane call non stop one answer please help
1,awesome ill book next christmas vacatinn december way want devalue mileage plus
0,good number call speak someone fix people luggage saturday
1,thank you secure room night thank you helpful customer service rep n dorns thank you goodenoughmother
0,damn bag
0,well someone tell employee denver baggage claim still bag
0,divert miss connect flight tell bag way msy people care
0,male agnt las threaten canadian cust cust take pic gate agent announce help rebook friendlyskie
0,want go home tonight cancel flight last leg reserv wout permission
0,stress rude agent overwhelm delyd flight lasden yell several people pretty friendlyskie
0,land boston last night hour travel rough tho
0,fail cancel flightle flight frm gjt use reserv home iah sea reflight booking problems wout permission
0,make fly list airline wait connector late flight stick iah
0,also mere fact go online issue statement vice call talk directly one good example
1,thank fly newark vaileagle
0,weekend deal company would say otherwise
0,flight go get plane businesstravel goodenoughmother
0,proper response sorry wait flight look issue would handle
0,customer service terrible stood inline hour flight hour late flightr still bagdisgutedindenver
0,inadequate accident
1,denver international airport
1,thank respond quickly helpful tool
0,boarding time show min gate agent start show check bag
0,agent las let customer know help rebook delay flight den unfriendlyskie
0,empathize w disappointment flight wnonworking entertainmnt worth unfriendlyskie
0,work
0,search mileage ticket bom could find single one saver award see play earn mile use
0,flight arrive minute early wait hour bag
0,issue fact one even call despite promise confirm bag location
0,still wait hear back wallet steal one plane would appreciate resolution
0,lose baggage  hear different thing different employee say nothing
0,c think mile repair damage interest travel exp bad flight ever
0,sign notification first trip update sure happen
1,thank take care everything make right experience use open app find flight change
0,line response wait tomorrow morning flight overbooke
0,take exact aircraft lax day ago fit problem agent today tell nonsense policy change
0,helpful agent club help baggage fee night lifestop business
0,never hear
0,charge ticket change fee incur mysterious cost incur
0,exhaust amp frustrate link fb post abt travel issue
0,deny get plane wo get chance prove fit rookie read bio
